Date,Mkt,SMB,HML
2015-01-01,0.05,0,0
2015-01-02,-1.12,0.55,0.35
2015-01-05,-2.52,1.52,-1.37
2015-01-06,-0.96,0.19,0.27
2015-01-07,-0.06,-0.35,-0.05
2015-01-08,2.01,-1.53,-0.27
2015-01-09,-0.67,1.07,-0.71
2015-01-12,0.4,-0.45,-0.58
2015-01-13,0.76,-0.7,-0.05
2015-01-14,-1.08,0.76,-0.52
2015-01-15,1.57,-0.98,-0.31
2015-01-16,-0.3,-0.36,0.75
2015-01-19,0.73,-0.12,-0.1
2015-01-20,0.33,-0.31,0.17
2015-01-21,0.97,-0.58,0.33
2015-01-22,-0.53,-0.62,0.68
2015-01-23,0.23,-0.5,-0.97
2015-01-26,0.91,-0.17,-0.01
2015-01-27,0.29,0.17,-0.04
2015-01-28,-0.77,0.3,-0.68
2015-01-29,0.18,-0.45,-0.04
2015-01-30,-0.61,0.91,-0.16
2015-02-02,0.52,-0.02,1.05
2015-02-03,2.14,-0.29,1.64
2015-02-04,-0.57,0.23,-0.96
2015-02-05,1.16,0.68,0
2015-02-06,-1.15,0.25,-0.04
2015-02-09,-0.72,0.33,0.06
2015-02-10,0.7,0.19,-0.61
2015-02-11,-0.35,-0.04,-0.04
2015-02-12,1.59,0,0.72
2015-02-13,0.55,-0.27,0.83
2015-02-16,-0.41,0.53,0.17
2015-02-17,0.58,-0.21,-0.24
2015-02-18,0.67,0.12,0.22
2015-02-19,0.17,-0.32,-0.62
2015-02-20,0.47,-0.01,0.06
2015-02-23,0.2,-0.15,-0.63
2015-02-24,0.54,-0.22,0.7
2015-02-25,0.19,0.3,-0.17
2015-02-26,-0.51,-0.24,-0.41
2015-02-27,0.32,0.05,-0.03
2015-03-02,-0.18,-0.15,-0.11
2015-03-03,-0.87,0.42,-0.18
2015-03-04,-0.33,-0.49,-0.24
2015-03-05,0.51,0,-0.44
2015-03-06,-1.5,0.09,-0.11
2015-03-09,-0.08,0.09,-0.03
2015-03-10,-2.21,0.45,-0.38
2015-03-11,0.04,-0.74,-0.18
2015-03-12,0.69,0.03,0.2
2015-03-13,-0.9,0.16,-0.88
2015-03-16,1.57,-0.74,-0.26
2015-03-17,-0.54,-0.1,0.31
2015-03-18,2.63,-0.46,-0.16
2015-03-19,-1.32,0.27,0.14
2015-03-20,2.39,-0.45,0.66
2015-03-23,0.51,0.41,0.48
2015-03-24,0.07,0.2,0.38
2015-03-25,-0.5,0.33,0.74
2015-03-26,-1.41,-0.06,0.17
2015-03-27,0.11,-0.17,-0.24
2015-03-30,0.56,-0.37,-0.11
2015-03-31,-1.4,0.78,0.02
2015-04-01,0.57,-0.31,0.4
2015-04-02,1,0.07,0.03
2015-04-03,0.81,-0.02,0.03
2015-04-06,-0.38,0.02,0.01
2015-04-07,0.51,-0.67,-0.09
2015-04-08,-0.26,0.66,-0.38
2015-04-09,0.02,-0.35,-0.2
2015-04-10,0.32,-0.11,-0.47
2015-04-13,-0.06,0.31,-0.03
2015-04-14,0.39,0.41,0.03
2015-04-15,0.76,-0.06,0.41
2015-04-16,-0.05,0.33,-0.14
2015-04-17,-1.31,0.51,-0.18
2015-04-20,0.28,-0.33,0.17
2015-04-21,0.5,-0.08,-0.9
2015-04-22,-0.25,-0.03,-0.04
2015-04-23,0.63,0.21,0.32
2015-04-24,0.81,0.14,0.09
2015-04-27,1.15,-0.35,0.1
2015-04-28,-0.5,0.79,0.6
2015-04-29,-0.67,1.01,0.22
2015-04-30,0.45,-0.11,0.28
2015-05-01,-0.43,-0.16,0.11
2015-05-04,0.3,0.07,-0.19
2015-05-05,-1.07,0.88,0.07
2015-05-06,0.88,-0.01,0.38
2015-05-07,-0.42,-0.03,-0.35
2015-05-08,2.05,-0.69,-0.86
2015-05-11,-0.13,0.39,-0.15
2015-05-12,-0.56,0.49,0.36
2015-05-13,1.11,0.49,0.18
2015-05-14,1.14,-0.51,0.09
2015-05-15,-0.07,0.66,-0.25
2015-05-18,-0.54,-0.22,-0.56
2015-05-19,-0.09,-0.67,-0.42
2015-05-20,0.06,-0.17,0.06
2015-05-21,0.5,-0.03,-0.23
2015-05-22,-0.86,0.12,0.08
2015-05-25,-0.51,0.19,-0.34
2015-05-26,-1.65,0.45,-0.35
2015-05-27,1.32,-0.88,0.07
2015-05-28,0.01,0.35,-0.37
2015-05-29,-1.08,0.88,0.09
2015-06-01,-0.56,0.1,-0.49
2015-06-02,1.29,0.39,0.89
2015-06-03,1.06,-0.06,0.34
2015-06-04,-0.99,0.42,-0.19
2015-06-05,-1.94,0.29,0.13
2015-06-08,0.44,0.2,0.02
2015-06-09,-0.43,-0.01,0.04
2015-06-10,1.98,-0.8,0.01
2015-06-11,0.1,-0.18,-0.12
2015-06-12,-0.9,0.41,-0.18
2015-06-15,-1.29,0.22,-0.14
2015-06-16,0.19,-0.09,-0.64
2015-06-17,0.26,0.29,0.09
2015-06-18,0.61,-0.5,-0.15
2015-06-19,0.04,0.15,0.23
2015-06-22,2.26,-1.29,0.62
2015-06-23,-0.44,0.08,-0.4
2015-06-24,-0.22,-0.03,0.34
2015-06-25,-0.07,0.11,0.09
2015-06-26,-0.32,0.12,0.22
2015-06-29,-2.15,1.01,-0.41
2015-06-30,-1.64,1.11,-0.07
2015-07-01,0.64,-0.59,-0.18
2015-07-02,-0.13,-0.06,0.35
2015-07-03,-0.44,0.21,-0.06
2015-07-06,-1.54,0.6,-0.97
2015-07-07,-1.94,0.5,-0.52
2015-07-08,0.52,-0.83,0.41
2015-07-09,1.72,-0.84,0.11
2015-07-10,3.16,-1.02,-0.02
2015-07-13,0.29,-0.08,-0.32
2015-07-14,0.58,-0.19,-0.21
2015-07-15,-0.13,0.04,-0.07
2015-07-16,0.64,-0.24,-0.16
2015-07-17,-0.43,0.26,-0.27
2015-07-20,0.34,0.06,-0.29
2015-07-21,0.04,0.52,0.47
2015-07-22,-0.71,0.55,-0.14
2015-07-23,0.13,0.09,-0.16
2015-07-24,-0.92,0.6,-0.27
2015-07-27,-1.03,0.48,0.11
2015-07-28,0.82,-0.4,-0.02
2015-07-29,0.3,-0.28,-0.11
2015-07-30,-0.19,-0.15,0.05
2015-07-31,0.76,-0.11,-0.32
2015-08-03,0.22,-0.47,-0.59
2015-08-04,-0.62,0.22,-0.24
2015-08-05,1.08,-0.52,0.21
2015-08-06,-0.4,0.07,0.3
2015-08-07,-0.5,0.18,0.6
2015-08-10,1.2,-0.25,-0.13
2015-08-11,-1.21,0.92,0.09
2015-08-12,-1.38,0.93,0.43
2015-08-13,0.87,-0.05,-0.52
2015-08-14,-0.31,0.21,-0.33
2015-08-17,-0.21,0.03,0.03
2015-08-18,-0.26,0.21,-0.58
2015-08-19,-0.92,0.65,-0.06
2015-08-20,-1.09,0.29,0.48
2015-08-21,-1.76,1.06,0.14
2015-08-24,-2.96,0.47,-0.52
2015-08-25,2.63,-0.55,-0.05
2015-08-26,-2.46,0.88,0.11
2015-08-27,2.18,-1.01,0.05
2015-08-28,0.08,0.15,-0.06
2015-08-31,-0.18,0.45,-0.23
2015-09-01,-1.86,0.99,0.14
2015-09-02,-0.15,-0.23,-0.28
2015-09-03,1.12,-0.61,-0.2
2015-09-04,-2.07,1.25,-0.31
2015-09-07,0.64,-0.45,-0.04
2015-09-08,1.44,-0.32,0.22
2015-09-09,0.94,-0.54,0.13
2015-09-10,-0.37,0.57,-0.24
2015-09-11,-0.24,0.37,-0.2
2015-09-14,-0.68,0.05,-0.23
2015-09-15,0.29,-0.59,0.05
2015-09-16,1.55,-0.84,-0.39
2015-09-17,1.1,0.28,0.1
2015-09-18,-2.54,1.43,-0.95
2015-09-21,-0.32,-0.31,-0.68
2015-09-22,-3.4,1.37,-0.06
2015-09-23,0.31,-0.25,-0.06
2015-09-24,-1.33,0.47,-0.13
2015-09-25,1.97,-1.28,-0.54
2015-09-28,-1.67,0.84,-0.55
2015-09-29,-0.49,0.04,0.74
2015-09-30,1.63,-1.2,-0.23
2015-10-01,-0.27,0.52,0.23
2015-10-02,0.93,-0.34,0.13
2015-10-05,2.38,-1.33,0.46
2015-10-06,1.35,-0.14,0.69
2015-10-07,-0.04,-0.01,1.53
2015-10-08,0.66,-0.16,-0.04
2015-10-09,0.96,-0.24,0.52
2015-10-12,-0.21,0.21,-0.28
2015-10-13,-0.66,0.06,-0.54
2015-10-14,0.13,0.53,0.21
2015-10-15,0.58,-0.52,-0.45
2015-10-16,0.21,-0.6,0
2015-10-19,-0.07,0.22,-0.66
2015-10-20,-0.16,0.51,-0.16
2015-10-21,-0.06,0.04,-0.13
2015-10-22,0.1,-1.22,-0.37
2015-10-23,0.72,-1.03,-0.52
2015-10-26,0.01,0.44,-0.1
2015-10-27,-1.08,0.41,-0.63
2015-10-28,0.18,-0.82,0.15
2015-10-29,0.13,0.33,-0.83
2015-10-30,0.28,0.34,-0.01
2015-11-02,0.45,0.31,0.18
2015-11-03,-0.1,0.08,-0.11
2015-11-04,-0.45,-0.1,-0.29
2015-11-05,-0.28,0.04,-0.77
2015-11-06,-0.9,0.04,0.41
2015-11-09,-0.83,0.96,-0.09
2015-11-10,-0.2,-0.3,-0.25
2015-11-11,0.74,-0.35,-0.63
2015-11-12,-0.87,0.53,-0.48
2015-11-13,-1.11,0.3,0.09
2015-11-16,-0.23,-0.09,-0.34
2015-11-17,1.49,-1.16,0.03
2015-11-18,0.12,0.24,0.53
2015-11-19,1.01,-0.31,0.12
2015-11-20,-0.7,0.14,-0.67
2015-11-23,-0.37,0.13,0.12
2015-11-24,-0.98,0.3,0.62
2015-11-25,1.05,-0.85,-0.55
2015-11-26,0.71,-0.39,0.05
2015-11-27,-0.26,0.39,-0.37
2015-11-30,0.28,0.46,-0.17
2015-12-01,0.47,0.33,0.12
2015-12-02,-0.24,0.3,-0.77
2015-12-03,0.22,1.88,0.11
2015-12-04,-0.69,0.32,-0.33
2015-12-07,-0.07,-0.26,-0.8
2015-12-08,-1.28,0.48,-0.05
2015-12-09,0.6,0.19,0.7
2015-12-10,-0.85,-0.07,0.08
2015-12-11,-1.43,0.78,-0.22
2015-12-14,-1.43,0.46,-0.39
2015-12-15,1.75,-1.62,0.18
2015-12-16,0.34,0.12,0.07
2015-12-17,0.19,-0.39,-0.07
2015-12-18,-0.63,0.87,0.17
2015-12-21,-0.5,0.53,-0.16
2015-12-22,0.36,-0.08,0.59
2015-12-23,1.79,-1.16,0.39
2015-12-24,0.48,0.02,0.11
2015-12-25,-0.16,0.02,0.06
2015-12-28,-0.14,0.34,-0.36
2015-12-29,0.85,-0.37,-0.57
2015-12-30,-0.37,0.68,-0.31
2015-12-31,-1.07,0.46,0.17
2016-01-01,0.07,-0.01,-0.03
2016-01-04,-2.54,1.3,0.15
2016-01-05,-0.31,-0.35,-0.09
2016-01-06,-1.05,0.38,-0.4
2016-01-07,-0.93,0.08,-0.17
2016-01-08,-1.28,0.87,-0.32
2016-01-11,-0.78,-0.42,0.18
2016-01-12,0.87,-0.58,-0.1
2016-01-13,-0.01,-0.18,0.29
2016-01-14,-1.21,-0.3,0.74
2016-01-15,-2.44,0.29,0.04
2016-01-18,-0.73,-0.79,-0.69
2016-01-19,1.5,-0.38,-0.33
2016-01-20,-3.15,0.52,-0.8
2016-01-21,1.67,-0.89,0.53
2016-01-22,2.14,-0.55,-0.15
2016-01-25,-0.09,0.97,-1.15
2016-01-26,1.04,-0.56,0.64
2016-01-27,0.35,-0.17,-0.18
2016-01-28,-0.74,0.92,0.56
2016-01-29,1.16,-1.05,-0.28
2016-02-01,0.44,0.42,-0.55
2016-02-02,-1.78,1.1,-1.19
2016-02-03,0.26,0.33,0.13
2016-02-04,0.76,-0.29,1.76
2016-02-05,-1.23,0.09,1.02
2016-02-08,-3.17,-0.1,0.27
2016-02-09,-0.65,-0.1,-1.15
2016-02-10,1.58,0.07,-0.19
2016-02-11,-2.71,1.24,-0.83
2016-02-12,1.75,-1.5,1.28
2016-02-15,1.96,-0.63,-0.26
2016-02-16,-0.47,0.03,-0.06
2016-02-17,2.39,-0.54,0.5
2016-02-18,-0.08,1.04,-1
2016-02-19,-0.3,0.25,-0.64
2016-02-22,0.57,-0.63,0.74
2016-02-23,-1.31,0.9,-0.67
2016-02-24,-1.88,0.99,-0.26
2016-02-25,1.88,-1.1,0.14
2016-02-26,0.47,-0.45,1.16
2016-02-29,0.05,0.2,0.25
2016-03-01,1.55,-0.43,-0.13
2016-03-02,0.38,-0.36,1.14
2016-03-03,0.68,0.29,1.08
2016-03-04,1.19,0.06,-0.02
