Date,S1BM1,M1BM2,M1BM3,M1BM4,S1BM5,M1BM1,M2BM2,M2BM3,M2BM4,M2BM5,M3BM1,M3BM2,M3BM3,M3BM4,M3BM5,M4BM1,M4BM2,M4BM3,M4BM4,M4BM5,B1BM1,M5BM2,M5BM3,M5BM4,B1BM5
2020-01-01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.03,-0.02,-0.02,0,0,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,0.01,-0.01,-0.02,-0.02
2020-01-02,0.69,0.42,0.66,0.41,0.48,0.79,0.62,0.67,0.53,0.6,0.47,0.58,0.48,0.69,0.55,0.5,0.77,0.62,0.54,0.91,0.17,0.19,0.76,0.57,1.1
2020-01-03,-0.46,-0.87,-0.7,-0.84,-0.75,-0.67,-0.56,-0.85,-0.9,-0.11,-0.78,-0.89,-0.77,-0.89,-1.15,-0.79,-0.99,-1.19,-0.84,-1.26,-0.17,-0.18,-0.72,-0.18,-0.96
2020-01-06,0.11,0.02,0.01,-0.03,0.04,-0.31,-0.71,-0.2,-0.3,-0.42,0.18,-0.28,-0.16,-0.39,-0.3,-0.06,-0.43,-0.02,-0.08,-0.32,-0.13,0.2,0.12,0.35,-0.13
2020-01-07,-0.22,-0.2,-0.11,-0.05,0.04,-0.61,-0.2,-0.24,-0.03,-0.32,-0.08,-0.22,-0.14,0.28,-0.15,-0.58,-0.44,-0.08,-0.07,0.16,-0.16,-0.51,-0.2,-0.6,0.03
2020-01-08,-0.32,-0.12,-0.4,-0.24,-0.32,-0.23,-0.56,-0.5,-0.54,-0.44,-0.14,-0.66,-0.07,-0.44,-0.63,-0.02,-0.01,-0.39,-0.17,-0.13,0.07,-0.31,0.07,-0.15,-0.06
2020-01-09,0.65,0.33,0.32,0.49,0.41,0.67,0.59,0.65,-0.11,0.04,0.4,0.93,0.2,0.57,0.47,0.82,0.31,0.26,-0.09,0.04,0.48,0.48,-0.03,0.07,0.23
2020-01-10,0.27,0.3,0.39,-0.12,0.08,0.11,-0.58,0.34,-0.08,-0.04,-0.01,-0.07,-0.11,0.12,-0.28,-0.22,-0.15,-0.03,0.27,-0.73,0.11,-0.02,0.07,0.16,-0.43
2020-01-13,0.53,0.61,0.74,0.25,0.29,0.22,0.54,0.01,0.3,0.11,-0.02,-0.48,0.13,0.64,0.21,-0.06,0.47,0.25,-0.04,0.37,0.14,0.34,-0.12,-0.2,-0.3
2020-01-14,0.1,-0.02,-0.05,-0.16,-0.05,0.17,-0.19,-0.24,-0.27,-0.09,0.56,0.14,0.19,0.3,0.11,0.38,0.57,0.31,0.16,0.22,0.47,0.35,0.05,-0.28,-0.07
2020-01-15,0.03,0.37,0.52,0.35,0.14,0.62,0.5,0.26,0.12,-0.22,0.31,0.37,-0.1,0.28,-0.34,0.55,0.65,0.17,-0.44,-0.68,1.14,0.78,-0.18,0.05,-0.81
2020-01-16,0.32,0.34,0.2,0.08,0.01,-0.07,-0.02,0.07,0.39,-0.02,0.18,-0.21,0.05,-0.05,0.19,0.21,0.56,0.22,0.69,0.4,-0.26,0.35,0.35,0.25,-0.05
2020-01-17,0.09,0.17,0.01,0.11,-0.12,-0.15,0.24,0.11,-0.34,-0.04,0.26,0.47,0.12,0.13,-0.01,0.63,0.17,0.26,-0.19,-0.07,0.85,0.79,0.62,0.13,0.15
2020-01-20,0.44,0.46,0.16,0.26,0.1,0.25,0.32,0.08,0.38,0.11,-0.76,0.12,0.3,0.35,0.06,0.18,0.03,0.17,0.22,0.08,-0.17,-0.15,-0.03,0.11,-0.11
2020-01-21,-0.22,-0.46,-0.43,-0.31,-0.41,-0.2,-0.7,-0.26,-0.42,-0.36,-0.55,-0.39,-0.46,-0.19,-0.59,-0.17,-0.44,-0.56,-0.37,-0.66,-0.07,-0.26,-0.57,-0.55,-0.63
2020-01-22,1.04,0.53,0.31,0.47,0.36,0.2,0.79,0.2,-0.18,0.17,0.3,0.33,0.02,0.09,-0.15,0.58,0,0,-0.13,0.06,0.25,0.23,0.07,-0.43,-0.26
2020-01-23,-1.34,-0.81,-0.72,-0.53,-0.63,-0.55,-1.31,-1.12,-1.1,-1.02,-1.05,-0.88,-1.23,-0.92,-1.04,-1.31,-1.25,-1.06,-0.89,-0.91,-1.02,-0.95,-1,-0.54,-0.97
2020-01-24,0.31,0.14,0.24,-0.06,-0.11,0.4,0.27,0.44,0.28,0.12,0.32,0.23,0.28,0.26,0.22,0.19,0.21,0.24,0.1,0.11,0.5,0.48,0.61,0.36,0.09
2020-01-27,-1.69,-1.7,-1.84,-1.49,-1.51,-1.96,-2.33,-2,-1.71,-1.76,-2.3,-1.63,-1.79,-1.92,-2.2,-1.61,-2.17,-1.98,-2.03,-2.33,-2.39,-2.02,-2.82,-2.15,-2.27
2020-01-28,0.48,0.25,0.56,0.39,0.38,0.41,0.58,0.17,0.49,0.6,0.17,0,0.49,0.5,0.73,0.69,0.7,0.72,0.76,1.17,0.76,0.7,1.11,1.14,1.03
2020-01-29,0.72,0.31,0.17,-0.03,0.13,0.09,-0.06,0.35,-0.03,0.12,-0.23,0.44,0.13,0.5,0.26,0,0.22,0.4,0.19,0.45,0.38,0.28,0.08,-0.09,0.2
