Date,T,T2,T3
2015-01-07,-0.06,-0.96,-1.196666667
2015-01-08,2.01,-0.06,-1.533333333
2015-01-09,-0.67,2.01,-1.18
2015-01-12,0.4,-0.67,0.33
2015-01-13,0.76,0.4,0.426666667
2015-01-14,-1.08,0.76,0.58
2015-01-15,1.57,-1.08,0.163333333
2015-01-16,-0.3,1.57,0.026666667
2015-01-19,0.73,-0.3,0.416666667
2015-01-20,0.33,0.73,0.063333333
2015-01-21,0.97,0.33,0.666666667
2015-01-22,-0.53,0.97,0.253333333
2015-01-23,0.23,-0.53,0.676666667
2015-01-26,0.91,0.23,0.256666667
2015-01-27,0.29,0.91,0.223333333
2015-01-28,-0.77,0.29,0.203333333
2015-01-29,0.18,-0.77,0.476666667
2015-01-30,-0.61,0.18,0.143333333
2015-02-02,0.52,-0.61,-0.1
2015-02-03,2.14,0.52,-0.4
2015-02-04,-0.57,2.14,0.03
2015-02-05,1.16,-0.57,0.683333333
2015-02-06,-1.15,1.16,0.696666667
2015-02-09,-0.72,-1.15,0.91
2015-02-10,0.7,-0.72,-0.186666667
2015-02-11,-0.35,0.7,-0.236666667
2015-02-12,1.59,-0.35,-0.39
2015-02-13,0.55,1.59,-0.123333333
2015-02-16,-0.41,0.55,0.646666667
2015-02-17,0.58,-0.41,0.596666667
2015-02-18,0.67,0.58,0.576666667
2015-02-19,0.17,0.67,0.24
2015-02-20,0.47,0.17,0.28
2015-02-23,0.2,0.47,0.473333333
2015-02-24,0.54,0.2,0.436666667
2015-02-25,0.19,0.54,0.28
2015-02-26,-0.51,0.19,0.403333333
2015-02-27,0.32,-0.51,0.31
2015-03-02,-0.18,0.32,0.073333333
2015-03-03,-0.87,-0.18,0
2015-03-04,-0.33,-0.87,-0.123333333
2015-03-05,0.51,-0.33,-0.243333333
2015-03-06,-1.5,0.51,-0.46
2015-03-09,-0.08,-1.5,-0.23
2015-03-10,-2.21,-0.08,-0.44
2015-03-11,0.04,-2.21,-0.356666667
2015-03-12,0.69,0.04,-1.263333333
2015-03-13,-0.9,0.69,-0.75
2015-03-16,1.57,-0.9,-0.493333333
2015-03-17,-0.54,1.57,-0.056666667
2015-03-18,2.63,-0.54,0.453333333
2015-03-19,-1.32,2.63,0.043333333
2015-03-20,2.39,-1.32,1.22
2015-03-23,0.51,2.39,0.256666667
2015-03-24,0.07,0.51,1.233333333
2015-03-25,-0.5,0.07,0.526666667
2015-03-26,-1.41,-0.5,0.99
2015-03-27,0.11,-1.41,0.026666667
2015-03-30,0.56,0.11,-0.613333333
2015-03-31,-1.4,0.56,-0.6
2015-04-01,0.57,-1.4,-0.246666667
2015-04-02,1,0.57,-0.243333333
2015-04-03,0.81,1,-0.09
2015-04-06,-0.38,0.81,0.056666667
2015-04-07,0.51,-0.38,0.793333333
