Date,MOM
2020-01-01,0.01
2020-01-02,-0.12
2020-01-03,0.05
2020-01-06,-0.27
2020-01-07,0.22
2020-01-08,0.14
2020-01-09,0.56
2020-01-10,-0.09
2020-01-13,0.33
2020-01-14,0.48
2020-01-15,0.44
2020-01-16,-0.12
2020-01-17,0.4
2020-01-20,0.03
2020-01-21,0.6
2020-01-22,0.48
2020-01-23,0.14
2020-01-24,0.6
2020-01-27,-0.38
2020-01-28,-0.01
2020-01-29,0.35
2020-01-30,0.17
2020-01-31,0.11
2020-02-03,0.53
2020-02-04,0.34
2020-02-05,-0.21
2020-02-06,-0.19
2020-02-07,0.24
2020-02-10,0.49
2020-02-11,0.29
2020-02-12,-0.34
2020-02-13,0.76
2020-02-14,0.22
2020-02-17,0.01
2020-02-18,0.59
2020-02-19,0.7
2020-02-20,-0.41
2020-02-21,0.42
2020-02-24,-0.63
2020-02-25,0.07
2020-02-26,0.06
2020-02-27,-0.36
2020-02-28,-0.47
2020-03-02,1.07
2020-03-03,1.96
2020-03-04,0.61
2020-03-05,0.48
2020-03-06,-0.48
2020-03-09,1.87
2020-03-10,-0.11
2020-03-11,-0.29
2020-03-12,0.29
2020-03-13,0.05
2020-03-16,-0.68
2020-03-17,-0.74
2020-03-18,-0.42
2020-03-19,0.46
2020-03-20,-0.8
2020-03-23,-0.72
2020-03-24,-1.17
2020-03-25,-0.43
2020-03-26,0.9
2020-03-27,1.44
2020-03-30,1.34
2020-03-31,-0.61
2020-04-01,0.54
2020-04-02,-0.95
2020-04-03,1.38
2020-04-06,-1.66
2020-04-07,-1.98
2020-04-08,0.13
2020-04-09,-0.96
2020-04-10,-0.02
2020-04-13,-0.07
2020-04-14,2.13
2020-04-15,3.58
2020-04-16,1.5
2020-04-17,-2.12
2020-04-20,1.08
2020-04-21,2.35
2020-04-22,-0.52
2020-04-23,-1.4
2020-04-24,1.21
2020-04-27,-1.08
2020-04-28,-2.08
2020-04-29,-4.25
2020-04-30,1.55
2020-05-01,0.77
2020-05-04,1.79
2020-05-05,-0.31
2020-05-06,1.36
2020-05-07,-0.38
